Nome,Rio,Latitude,Longitude
Rio Verde de Minas *,São Francisco,-14.924667,-43.503791
Matias Cardoso,São Francisco,-14.855564,-43.922763
Mocambinho *,São Francisco,-15.086573,-44.011377
Januária,São Francisco,-15.175986,-44.182380
Vila Florentina *,São Francisco,-15.239553,-44.096497
Januária,São Francisco,-15.489055,-44.363413
Pedras de Maria da Cruz,São Francisco,-15.605433,-44.395615
Remansinho * ,São Francisco,-15.690405,-44.567485
Travessão de Minas *,São Francisco,-15.822595,-44.6972029
Povoado Esperança*,São Francisco,-15.864211,-44.757607
Povoado Porto Velho*,São Francisco,-15.958712,-44.890398
São Francisco,São Francisco,-15.949107,-44.867238
Povoado Fazenda Lagoa* ,São Francisco,-15.950634,-44.540341
São Francisco,São Francisco,-15.938240,-44.845576
Povoado Fazenda Retiro do Morro* ,São Francisco,-16.051109,-44.731388
Povoado Caldeirões*,Rio Acari,-15.983751,-45.072059
Povoado Para Terra II *,Rio Acari,-16.005595,-45.076989
Povoado Para Terra I *,Rio Acari,-15.944669, -45.141720
Assentamento Para Terra III *,Rio Acari,-15.932100,-45.167526
Nova Aparecida,São Francisco,-16.229729,-45.028868
Bentopolis de Minas *  (beira do riacho grande),Riacho Grande,-16.380942,-45.015148
Morrinhos do Bom Jesus * (beira do riacho grande),Riacho Grande,-16.351076,-44.991762
Morrinhos do Bom Jesus * (beira do riacho grande),Riacho Grande,-16.349488,-44.990784
Logradouro*,Riacho Grande,-16.172643,-44.748868
Brejo Grande *,Riacho Grande,-16.188116,-44.780381
Luislândia (córrego Jacu),Córrego do Jacu,-16.118516,-44.582987
Brasília de Minas,Rio Paracatu,-16.2067311,-44.448247
Coração de Jesus,Rio Pacuí,-16.468230,-44.343391
Coração de Jesus,Rio Pacuí,-16.495334,-44.269487
Ribanceiras,São Francisco,-16.468979,-45.104823
Barra do Rio | Barra do Paracatu,Rio Paracatu,-16.5862846,-45.1374478
Ibaí,São Francisco,-16.854759,-44.914515
Barra do Guaicuí,"Rio das Velhas
Comecinho, quase 
na saída do S. Francisco",-17.203146,-44.818177
Pirapora,São Francisco,-17.344118,-44.952483
Buritizeiro,São Francisco,,
Povoado Pedra de Santana*,São Francisco,-17.587293,-45.0009938
Sambaiba de Minas*,São Francisco,-17.906797,-45.129375
Barro Branco*,São Francisco (pouco longe),-17.920898,-45.089653
Três Marias,São Francisco | 3 marias,-18.2171345,-45.2548961
São José do Buriti,São Francisco | 3 marias,-18.712526,-45.153545
Paredão*,São Francisco,-19.217338,-45.207143
Campo do Meio | Luz,Ribeirão da Estiva,-19.737079,-45.525677
BEIRA CORREGO,Rio Paraopeba,,
PEQUI,Rio Paraopeba,,
PARÁ DE MINAS,Rio Paraopeba,,
Ribeiro de Abreu,Ribeirão do onça,-19.823008,-43.902835
LASSANCE,CORREGO PERTO DO RIO DAS VELHS,-17.888356,-44.576528
LASSANCE,CORREGO PERTO DO RIO DAS VELHS,-17.893654,-44.575742
SANTO HIPÓLITO,RIO DAS VELHAS,-18.300811,-44.221935
POVOADO ARAÇAS *,RIO DAS VELHAS,-18.628301,-44.192891
POV LANDIM *,RIO DAS VELHAS,-18.669094,-44.201188
BEBEDOURO,RIO DAS VELHAS,-19.120916,-44.004928
JEQUITIBÁ,RIO DAS VELHAS,-19.240003,-44.024187
PALMA*,RIO DAS VELHAS,-19.438162,-43.930023
CACHOEIRA,RIO DAS VELHAS,-19.604298,-43.806432
VARGEM GRANDE,RIO DAS VELHAS,-19.689299,-43.784561
STA LUZIA,RIO DAS VELHAS,-19.718168,-43.852090
RAPOSOS,RIO DAS VELHAS,-19.971361,-43.807398
ACURI,RIO DAS VELHAS,-20.210240,-43.721735
PV CORREGO DO BARRO*,PARAOPEBA,-19.710546,-44.501083
PADRE JOAO,PARAOPEBA,-19.898832,-44.340259
FRANCELINOS,PARAOPEBA,-19.978276,-44.281094
MÁRIO CAMPOS,PARAOPEBA,-20.059101,-44.193521
PIRES,PARAOPEBA,-20.152526,-44.172426
BARREIRAS,PARAOPEBA,-20.239486,-44.156363
VARGEM BONITA,SAO FRANCISCO (NASCENTE),-20.326927,-46.365481
IGUATAMA,SAO FRANCISCO,-20.172875,-45.712278
,,,
JACINTO,JEQUITINHONHA,-16.150174,-40.295328
ALMENARA,JEQUITINHONHA,-16.186313,-40.690426
TRES BARRAS,JEQUITINHONHA (NASCENTE),-18.518363,-43.460241
VAU *,JEQUITINHONHA,-18.417734,-43.526554
POV RIBEIRAO DE SAO DOMINGOS,JEQUITINHONHA,-17.567616,-43.398634
POV LAGOA,JEQUITINHONHA,-17.397416,-43.194599
CORDEIROS,JEQUITINHONHA,-17.388646,-43.268945
PEDREGULHO,JEQUITINHONHA,-17.235100,-43.109496 
POSSES,JEQUITINHONHA,-17.044513,-42.790250
MANDAÇAIA,JEQUITINHONHA,-16.995207,-42.745510
SANTA CRUZ DE BOTUMIRIM,JEQUITINHONHA,-16.911758,-42.794011
SANTA RITA,JEQUITINHONHA,-16.902493,-42.729764
LAGOINHA,JEQUITINHONHA,-16.717520,-42.501696
SANTANA *,JEQUITINHONHA,-16.690503,-42.460126
BARRA DO SALINAS,JEQUITINHONHA,-16.615704,-42.306573
CORONEL MURTA,JEQUITINHONHA,-16.619998,-42.188472
POV ALDEIA INDIGENA APUKARE ,JEQUITINHONHA,-16.674225,-42.161863
 POV ALDEIA CINTA VERMELHA JUNDIBA,JEQUITINHONHA,-16.739418,-42.059379
ITIRA,JEQUITINHONHA,-16.765278,-42.012747
ARAÇUAÍ,RIO ARAÇUAI,-16.841518,-42.074556
TAQUARAL,JEQUITINHONHA,-16.686167,-41.868039
 GENIPAPO,JEQUITINHONHA (RIBEIRÃO JENIPAPO),-16.651215,-41.885316
ITINGA,JEQUITINHONHA,-16.607579,-41.770804
PASMADO,JEQUITINHONHA,-16.576650,-41.656150
ITAOBIM,JEQUITINHONHA,-16.558534,-41.497660
SAO PEDRO DO JEQUITINHONHA,JEQUITINHONHA,-16.508988,-41.337379
POV PA CAMPO NOVO *,JEQUITINHONHA,-16.436137,-41.172097
JEQUITINHONHA,JEQUITINHONHA,-16.439264,-41.005295
POV COMUNIDADE ITAUNA,JEQUITINHONHA,-16.418462,-41.029382
,,,
RIO DOCE,RIO DOCE,-20.244353,-42.896108
SANTANA DO DESERTO,RIO DOCE,-20.198707,-42.832959
SAGRADO CORACAO DE JESUS,RIO DOCE,-20.148492,-42.808339
BIBOCA*,RIO DOCE,-20.007565 ,-42.711201
PATRIMONIO DO REQUERENTE,RIO DOCE,-19.920375,-42.644128
LAGOA DAS PALMEIRAS,RIO DOCE,-19.905612,-42.592437
IPATINGA,RIO DOCE,-19.497160,-42.531978