Adresse,Numero,Latitude,Longitude,PHOTO,Horaire,Qui,
"16 rue Principale, 57220 VARIZE
",03 87 64 00 35,49.13501200,6.457905,1,30/09/2021 | 14h32: pas de réponse,,
"62 rue de Fenetrange, 67260 HARSKIRCHEN",03 88 00 94 41,48.932136,7.039933,-,30/09/2021 | 14h35: pas de réponse,,
"20 rue Principale, 67140 LE HOHWALD",03 88 08 30 10,48.403999,7.328372,3,30/09/2021 | 14h34: não toca,,
"75 route de Strasbourg, 67960 ENTZHEIM
",03 88 68 89 60,48.536545,7.640638,-,,,
"24 rue du Maréchal Foch, 67113 BLAESHEIM
",03 88 68 89 61,48.504758,7.605503,-,,,
"318 rue Roger Salengro, 59260 HELLEMMES
",03 20 64 48 79,50.624886,3.116721,-,,,
"Aire Autoroute A5 Aire Val Marnay, 52120 CHÂTEAUVILLAIN
",03 25 32 67 35,48.056218,4.957436,7,30/09/2021 | 14h34: não toca,,
"avenue de Bourgogne, 52140 VAL DE MEUSE",03 25 90 38 35,47.998359,5.486567,-,30/09/2021 | 14h38: não toca,,
"1 place René Descartes, 61000 ALENÇON",02 33 31 15 68,48.416617,0.093458,-,"30/09/2021 | 14h39: Uma senhora ficou brava: ""ça ne se fait pas""",,
"quai Demange, 44600 SAINT NAZAIRE",02 51 10 04 13,47.274395,-2.199756,-,,,
"Port, 29730 GUILVINEC (QUARTIER DE VERDUN)",02 98 58 28 86,47.797235,-4.284068,-,,,
"51 route de la Dolomie, 34800 MOURÈZE",04 67 96 95 35,43.618481,3.356478,12,30/09/2021 | 14h28: pas de réponse,,
"17 route de Fronsac, 31510 SAINT PÉ D'ARDET",05 61 79 64 68,42.984316,0.671158,13,30/09/2021 | 14h30: pas de réponse,,
"place de la République, 59260 HELLEMMES",03 20 14 46 84,50.627027,3.114591,-,,,
,,,,,,,
,,,,,,,
,,,,,,,
https://annuaire.118712.fr/?s=cabine+telephonique,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Cabines mantenues a l'Aude,,,,,,,
,,,,,,,
"Les cabines maintenues : Albas ; Escales ; Caunettes-en-Val ; Mayronnes, Castans ; Casalrenoux ; Lacombe ; Mas-des-Cours ; Gaja-la-Selve ; Generville ; Lafage ; Marquein ; Payra-sur-l'Hers ; Pécharic-et-le-Py ; Piavilla ; Ribouisse ; Clermont-sur-Lauquet ; Lignairolles ; Saint-Polycarpe ; Seignalens ; Véraza ; Rouvenac ; Saint-Louis-et-Parahou ; Donazac ; La Digne-d'Amont ; Saint-Martin-de-Villereglan.",,,,,,,
https://www.ladepeche.fr/article/2018/01/08/2717518-cabines-telephoniques-26-sont-toujours-en-service.html,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"114 Rte de Moutte, Fort-de-France 97200",,14.631019,-61.047890,,,,
"Rue de la République, Saint-Joseph",,14.670880,-61.037578,,,,
,,,,,,,
Point (1.66901009999999994 44.46471019999999896),,44.46471019999999896,1.66901009999999994,,,,
St. Hubert Restaurant………450 rue Vachon | Cap-de-la-Madeleine,,46.3708993,-72.5555529,,13.05.2022,17:26,mensagem sonora: não é possivel completar a chamada
,,,,,,,
"https://www.google.com/maps/place/Pake+Montero/@5.4451544,-4.0170092,13z/data=!4m9!1m2!2m1!1spayphone!3m5!1s0xfc1949cb74d337f:0xf4fdb16d1adf0ae9!8m2!3d5.4116465!4d-3.9920602!15sCghwYXlwaG9uZZIBCHBheXBob25l",,,,16.05.2022,14:41,atendeu uma pessoa muito gentil e falou um pouco das cabines telefonicas,
"825X+W7V, Abidjan, Costa do Marfim",,5.4451544,-4.0170092,16.05.2022,14:50,VOTRE TIME IS NOW,
Point (-3.99001869999999981 5.39459350000000004),,5.39459350000000004,-3.99001869999999981,28.06.2022,14:58,"zoom 0045 _ a melhor chamada de todas, sem duvida.",
Point (-5.40576559999999962 6.38381799999999977),,6.38381799999999977,-5.40576559999999962,28.06.2022,15:07,ocupado,
Point (-4.09950749999999964 5.35027320000000017),,5.35027320000000017,-4.09950749999999964,28.06.2022,15:10,zoom 0047 ela fica brava e acha bizarro,
,,,,,,,
Point (16.63556549999999845 7.93130039999999958),23566682864,7.93130039999999958,16.63556549999999845,7.93130039999999958,28.06.2022,15:52,não entendi quase nada
,,,,,,,
Point (166.48160519999998996 -22.13741380000000092),881790,-22.137413800,166.4816051,,,,
korail,687276637,-22.2773399,166.4447623,,,,
,,-20.013130,163.933335,,,,
Point (-72.86238849999999445 18.83440510000000145),33183411,18.83440510000000145,-72.86238849999999445,31.05.2022,16:50,ougais athty,
Point (-72.31513119999999617 18.23384860000000174),36-87-52-39,18.23384860000000174,-72.31513119999999617,31.05.2022,16:59,caixa de mensagens,
,,,,,,,
https://goo.gl/maps/5UFoCnAeoY6ez23i7,41323424240,47.141297,7.2480858,,,,
https://goo.gl/maps/BCp7rNsXxiWTsdbp6,41416667090,46.5074913,6.49570,,,,
Point (8.52989039999999932 47.33456559999999769),41 44 481 90 9,47.33456559999999769,8.52989039999999932,,,,
,,,,,,,
Point (-4.30023330000000037 11.1728866),22670889328,11.1728866,-4.30023330000000037 ,,,,
Point (16.63556549999999845 7.93130039999999958),23566682864,7.93130039999999958,16.63556549999999845,,,,
,,,,,,,
Point (-7.97305449999999993 12.58952030000000022),22350076565,12.58952030000000022,-7.97305449999999993 ,,,,
Point (-7.99385999999999974 12.59767100000000006),22392678684,12.59767100000000006,-7.99385999999999974,,,,
,,,,,,,
Point (-16.40511539999999968 14.34230610000000006),781939957,14.34230610000000006,-16.40511539999999968,,,,
Point (-14.56606999999999985 14.44100189999999984),221776514840,14.44100189999999984,-14.56606999999999985 ,,,,
,,,,,,,
Point (1.16964770000000007 6.2181160000000002),22890797287,6.2181160000000002,1.16964770000000007,,,,
,,,,,,,
,,,,,,,
devant le restaurant,,4.9309961,-52.3212164,,,,
devant l'ecole,,4.93043,-52.3225687,,,,
,,,,,,,
,,,,,,,
Point (9.26595580000000041 47.62126070000000055),41 71 695 26 99,47.62126070000000055,9.26595580000000041,28.06.2022,,,
,,,,,,,
,,12.076046,20.3304433,,,,
,,15.376707,-4.2629997,,,,
,,,,,,,
,,,,,,,
"5298, ch de la cote-des-Neiges.",(514) 340-0114,45.4961358,-73.6244233,,,,
,,,,,,,
,,46.8957806,-71.4414814,,,,